English,Persian
ability,توانایی
able,قادر بودن
about,در باره
above,در بالا
accept,تایید کنید
according,با توجه
account,حساب
across,در میان
act,عمل کردن
action,عمل
activity,فعالیت
actually,در حقیقت
add,اضافه کردن
address,نشانی
administration,مدیریت
admit,اقرار کردن
adult,بالغ
baby,عزیزم
back,بازگشت
bad,بد
bag,کیسه
ball,توپ
bank,بانک
bar,بار
base,پایه
be,بودن
beat,ضرب و شتم
beautiful,زیبا
because,زیرا
become,تبدیل به
bed,بستر
before,قبل از
begin,شروع
behavior,رفتار - اخلاق
behind,پشت
believe,ایمان داشتن
benefit,سود
call,صدا زدن
camera,دوربین
campaign,پویش
can,می توان
cancer,سرطان
candidate,نامزد
capital,سرمایه، پایتخت
car,ماشین
card,کارت
care,مراقبت
career,حرفه
carry,حمل
case,مورد
catch,گرفتن
cause,علت
cell,سلول
center,مرکز
central,مرکزی
century,قرن
certain,مسلم - قطعی
certainly,قطعا